id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
355475-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten für Stahlkonstruktionen – Neubau Grundschule und Kindertagesstätte Estenfeld - Stahlbauarbeiten BA 2;Gemeinde Estenfeld;Estenfeld;;;45223210;68;https://ted.europa.eu/bg/notice/-/detail/355475-2026
354376-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten für Stahlkonstruktionen – Buddenbrookhaus, Erweiterung, Sanierung und Umbau;Hansestadt Lübeck, Bereich 5.061.2 - Fachbereichsdienste / Submission;Lübeck;;2026-06-30T08:00:00.000Z;45223210;63;https://ted.europa.eu/bg/notice/-/detail/354376-2026
354955-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten – Neubau Kita mit Arztpraxis in Ubstadt-Weiher, Ortsteil Zeutern;Gemeinde Ubstadt-Weiher;Ubstadt-Weiher;;2026-06-25T08:59:00.000Z;45421100 45223210 45421160 45421131 44221200 44221220;63;https://ted.europa.eu/bg/notice/-/detail/354955-2026
355247-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten – 23E0346 - Hochschule Trier - Irminenfreihof;LBB Regionale Vergabestelle Trier;Trier;;2026-06-25T08:20:00.000Z;45421160 45421141 45421140 45421131;63;https://ted.europa.eu/bg/notice/-/detail/355247-2026
355395-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten – Neubau Kita mit Arztpraxis in Ubstadt-Weiher, Ortsteil Zeutern;Gemeinde Ubstadt-Weiher;Ubstadt-Weiher;;2026-06-25T07:59:00.000Z;45223210 45341000;63;https://ted.europa.eu/bg/notice/-/detail/355395-2026
355464-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten – Holzisolierglasfenster und Holzaußentüren;GESOBAU AG;Berlin;;2026-06-23T08:30:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/355464-2026
355497-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – ZV - Rödental - Generalsanierung Rathaus - Aluminiumfenster- und -türelemente;Stadt Rödental;Rödental;;2026-06-22T07:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/355497-2026
355850-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – 26E0114 (LBB NL Mainz) Gästehaus der Landesregierung, Bastei Renovierung Modernisierung Fensterarbeiten;LBB Niederlassung Mainz;Mainz;;2026-06-24T08:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/355850-2026
356045-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten für Schulgebäude – Sanierung der Fenster am Lichtenberg Gymnasium in Cuxhaven;Landkreis Cuxhaven;Cuxhaven;;2026-06-23T07:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/356045-2026
356094-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten für Schulgebäude – 325 Fenster- und Verglasung Alu 5.BA;Schulverband Margetshöchheim;Margetshöchheim;;2026-07-02T07:00:00.000Z;45421100 45421130 45421132 45421110;63;https://ted.europa.eu/bg/notice/-/detail/356094-2026
