id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
504668-2026;2026-07-20T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Verkehrsgrün - Pflegeleistungen;Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei, Verdingungsstelle;Erfurt;;;77310000;68;https://ted.europa.eu/bg/notice/-/detail/504668-2026
503124-2026;2026-07-20T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Gartenanlagen – Gewerbezentrum Alanbrooke Paderborn mit dem Schwerpunkt Kreativwirtschaft;Alanbrooke Block 4 UG (haftungsbeschränkt);Paderborn;;2026-08-20T08:00:00.000Z;45112712;63;https://ted.europa.eu/bg/notice/-/detail/503124-2026
503744-2026;2026-07-20T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Rahmenvertrag zur Unterhaltung öffentlicher Grünflächen;Rennbahngemeinde Hoppegarten;Hoppegarten;;2026-07-24T08:00:00.000Z;77310000 77340000;63;https://ted.europa.eu/bg/notice/-/detail/503744-2026
498124-2026;2026-07-19T22:00:00.000Z;Deutschland – Grundstückspflege – Grünflächenpflege der Betriebsgelände des Wasserstraßen- und Schifffahrtsamtes Spree Havel, Außenbezirk Neukölln 2026-28;Wasserstraßen- und Schifffahrtsamt Spree Havel;Berlin;;2026-08-19T08:00:00.000Z;77314000;83;https://ted.europa.eu/bg/notice/-/detail/498124-2026
498761-2026;2026-07-19T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Grünanlagen – Garten- und Landschaftsbauarbeiten;Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen, V M 1 - Vergabestelle für den Öffentlichen Hochbau;Berlin;;2026-08-25T11:30:00.000Z;45112710;83;https://ted.europa.eu/bg/notice/-/detail/498761-2026
498904-2026;2026-07-19T22:00:00.000Z;"Deutschland – Landschaftsgärtnerische Arbeiten – 2026-0372 Durchführung von Bauleistungen für das Projekt ""Stadtpark Hochheide - GaLa-Bauarbeiten"" Los 1 (2. BA) sowie Los 2 (3. BA)";DEG Duisburger Einkaufsgesellschaft mbH;Duisburg;;2026-08-18T08:00:00.000Z;45112710 45112700 45112720;83;https://ted.europa.eu/bg/notice/-/detail/498904-2026
501203-2026;2026-07-19T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Grünanlagenpflege für Helmholtz Munich und Bundesamt für Strahlenschutz;Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt (GmbH);Neuherberg;;2026-08-17T09:00:00.000Z;77310000;83;https://ted.europa.eu/bg/notice/-/detail/501203-2026
501401-2026;2026-07-19T22:00:00.000Z;"Deutschland – Landschaftsgärtnerische Arbeiten – 2026-0394 Planung, Herstellung, Lieferung und Montage von Spielgeräten für das Projekt ""2. & 3. BA Stadtpark Hochheide""";DEG Duisburger Einkaufsgesellschaft mbH;Duisburg;;2026-08-18T08:00:00.000Z;45112710 45112700 45112720 45112723;83;https://ted.europa.eu/bg/notice/-/detail/501401-2026
499414-2026;2026-07-19T22:00:00.000Z;Deutschland – Dienstleistungen im Gartenbau – Mäh-,Krautungs- und Pflegearbeiten im Bereich der Dammstrecken und Betriebsgelände des Außenbezirkes Parchim für die Jahre 2026 bis 2028;Wasserstraßen- und Schifffahrtsamt Elbe;Magdeburg;820145.39;;77300000;80;https://ted.europa.eu/bg/notice/-/detail/499414-2026
501216-2026;2026-07-19T22:00:00.000Z;Deutschland – Dienstleistungen im Gartenbau – Mäharbeiten am Mittellandkanal sowie Stichkanal Linden und Verbindungskanal zur Leine 2026-2029;Wasserstraßen- und Schifffahrtsamt Mittellandkanal / Elbe-Seitenkanal;Braunschweig;418544.02;;77300000;80;https://ted.europa.eu/bg/notice/-/detail/501216-2026
