id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
479514-2026;;Deutschland – Gebäudereinigung – Laufende Unterhaltsreinigung und optionale Sonder- und Grundreinigung auf Abruf für zwei Objekte;Kreis Wesel;Wesel;762836.92;;90911200 90919000 90919300;80;https://ted.europa.eu/bg/notice/-/detail/479514-2026
479532-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Unterhaltsreinigung, optionale, Sonder- und Grundreinigung auf Abruf in verschiedenen Objekten der Stadt Marsberg;Stadt Marsberg;Marsberg;510085.18;;90911000 90911200 90919200 90919300;80;https://ted.europa.eu/bg/notice/-/detail/479532-2026
479778-2026;;Deutschland – Gebäudereinigung – Vergabe von Reinigungsleistungen Gemeinde Hüttenberg;Gemeinde Hüttenberg;Hüttenberg;292963.82;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/479778-2026
480346-2026;;Deutschland – Gebäudereinigung – SL 71-25O Unterhalts- und Grundreinigung für den Landkreis Vorpommern-Rügen (Ribnitz-Damgarten);Landkreis Vorpommern-Rügen;Stralsund;247548.5;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/480346-2026
480534-2026;;Deutschland – Reinigungsdienste – Reinigungsdienstleistungen für die Bezirksverwaltung;Bezirk Oberbayern;München;1989186.56;;90910000 90911200 90919200;80;https://ted.europa.eu/bg/notice/-/detail/480534-2026
481201-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung Dortmund Eving;Vergabe und Beschaffungszentrum Dortmund;Dortmund;2130521.04;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/481201-2026
481965-2026;;Deutschland – Reinigungsdienste – Unterhaltsreinigung: Gesamtschule Niederkassel Clustergebäude, Mehrzweckhalle + Mensa SZN;Stadt Niederkassel - Der Bürgermeister;Niederkassel;510000;;90910000 90911000 90911200;80;https://ted.europa.eu/bg/notice/-/detail/481965-2026
482816-2026;;Deutschland – Gebäudereinigung – Dienstleistung Reinigung;Stadtverwaltung Gotha;Gotha;142424;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/482816-2026
483384-2026;;Deutschland – Gebäudereinigung – Unterhalts-, Grund- und Glasreinigung verschiedener Objekte der Stadt Landshut;Stadt Landshut;Landshut;1320116.52;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/483384-2026
486877-2026;;Deutschland – Gebäudereinigung – Vergabe Unterhaltsreinigung;Gemeinde Laberweinting;Laberweinting;531410.85;;90911200 90919200;80;https://ted.europa.eu/bg/notice/-/detail/486877-2026
486928-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – WT, Justizareal, Unterhalts-, Vertretungs-, Grund- und Glasreinigung;Vermögen und Bau Baden-Württemberg, Amt Konstanz;Konstanz;249621.85;;90911000;80;https://ted.europa.eu/bg/notice/-/detail/486928-2026
487716-2026;;Deutschland – Gebäudereinigung – Offenes Verfahren zur Vergabe von Dienstleistungsverträgen über die Gebäudeinnen- und Sonder-, sowie die Glas- und Fensterreinigung für das Landgericht Magdeburg, die Außenstelle des Ministeriums für Justiz und Verbraucherschutz inkl. Landesjustizprüfungsamt und den Sozialen Dienst der Justiz Magdeburg.;Zentrale Beschaffungsstelle bei dem Landgericht Magdeburg;Halberstädter Straße 8;1149406.55;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/487716-2026
487852-2026;;Deutschland – Gebäudereinigung – Gebäudereinigung in Schuleinrichtungen 6 Lose;Land Berlin, vertreten durch das Bezirksamt Treptow-Köpenick von Berlin;Berlin;9596526.99;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/487852-2026
488825-2026;;Deutschland – Gebäudereinigung – Gebäudereinigungn in Schuleinrichtungen 2 Lose;Land Berlin, vertreten durch das Bezirksamt Treptow-Köpenick von Berlin;Berlin;4375806.03;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/488825-2026
488956-2026;;Deutschland – Gebäudereinigung – Reinigungsdienstleistungen Schwarmstadt, Soltau und Bomlitz;Landkreis Heidekreis, Der Landrat;Soltau;4289233.4;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/488956-2026
